num,slug,sk,code,name,time_val,unit,skill,abnormal,grossWeight,wgt,spawn,cycle_val,standard,material,raw,raw_mfr,one_box,pallet,tape,box,bag,etc,keyword
135,1637,ZZ1637,860054,サンスペーサー S-10,10,20,0.07,0,78ｇ,18 ±1,4,30,30.1,再生PP + 発泡剤,PP 再生PP,3～15,900,"",OPP透明HH,ｻﾝｽﾍﾟｰｻｰ S-10 / ｻﾝｽﾍﾟｰｻｰ S-15,"","56A(並べる：1200個 / バラ：1000個)、#13(並べる：250個)
段ボール: 900個入 / 25個/ﾏｽｷﾝｸﾞﾃｰﾌﾟ","ZZ1637,860054,サンスペーサーS10,さんすぺーさーS10,サンスペーサーS10,sansupeesaaS10,sansupeesaaS10,sansupeesaaS10"
136,1637,ZZ1637,860055,サンスペーサー S-15,20,10,0.2,0,114ｇ,27 ±2,4,39.8,40.2,再生PP + 発泡剤,PP 再生PP,3～15,600,"",OPP透明HH,ｻﾝｽﾍﾟｰｻｰ S-10 / ｻﾝｽﾍﾟｰｻｰ S-15,"","56A(並べる：900個 / バラ：500個)、#13(並べる：?個)
段ボール: 600個入 / 20個/ﾏｽｷﾝｸﾞﾃｰﾌﾟ","ZZ1637,860055,サンスペーサーS15,さんすぺーさーS15,サンスペーサーS15,sansupeesaaS15,sansupeesaaS15,sansupeesaaS15"
137,1638,ZZ1638,860056,サンスペーサー S-20,未登録,未登録,未登録,未登録,150ｇ,36 ±2,4,44.6,44.6,再生PP + 発泡剤,PP 再生PP,3～15,450,"",OPP透明HH,ｻﾝｽﾍﾟｰｻｰ S-20,"","56A(並べる：600個)
段ボール: 450個入 / 15個/ﾏｽｷﾝｸﾞﾃｰﾌﾟ/ 12本 x 2列 + 6本","ZZ1638,860056,サンスペーサーS20,さんすぺーさーS20,サンスペーサーS20,sansupeesaaS20,sansupeesaaS20,sansupeesaaS20,未登録"
138,1686,SK1686,805169,保温ボックス#14M ロック部品A+B,64,5,0.41,0,15.2ｇ,12 ±0.5,1,"",31,ポリアセタール,ﾎﾟﾘｱｾﾀｰﾙ M90-44 / PL-T9054N,-,"","","","",0.03 X 420 X 800,"","SK1686,805169,保温ボックス#14Mロック部品A+B,ほおんぼっくすしゃーぷ14MろっくぶひんA+B,ホオンボックスシャープ14MロックブヒンA+B,hoonbokkusushaapu14MrokkubuhinA+B,hoonbokkususyaapu14MrokkubuhinA+B,hoonbokkusushaapu14MrokkubuhinA+B"
139,1691,SK1691,800053,グロメット 6型,60,24,0.89,0,231.1ｇ,8.6 ±0.2,24,67.34,68,エラストマー,TPO LFR9787Q,6,1500,"","","","","仮保管：56A−2
ｻﾝｸﾚｯﾄ#50F","SK1691,800053,グロメット6型,ぐろめっと6がた,グロメット6ガタ,gurometto6gata,gurometto6gata,gurometto6gata"
140,1740,ZZ1740,860459,ショッピングバスケットU-31 ハンドル,70,10,0.33,0,86ｇ,40+1,2,41.8,41.8,PP,PP J704UG,5,100,"","","","",ｻﾝﾎﾞｯｸｽ56A-2,"ZZ1740,860459,ショッピングバスケットU31ハンドル,しょっぴんぐばすけっとU31はんどる,ショッピングバスケットU31ハンドル,shoppingubasukettoU31handoru,syoppingubasukettoU31handoru,shoppingubasukettoU31handoru"
141,1742,ZZ1742,860457,ショッピングバスケットU-17 ハンドル,80,10,0.4,0,99ｇ,34 ±1,2,40.1,40.6,PP,PP J704UG,5,100,"","","","",ｻﾝﾎﾞｯｸｽ56A-2,"ZZ1742,860457,ショッピングバスケットU17ハンドル,しょっぴんぐばすけっとU17はんどる,ショッピングバスケットU17ハンドル,shoppingubasukettoU17handoru,syoppingubasukettoU17handoru,shoppingubasukettoU17handoru"
142,1744,ZZ1744,860470,ショッピングバスケットU-28 ハンドル,70,10,0.32,0,71ｇ,31 ±1,2,43.14,43.2,PP,PP J704UG,5,100,"","","","",ｻﾝﾎﾞｯｸｽ56A-2,"ZZ1744,860470,ショッピングバスケットU28ハンドル,しょっぴんぐばすけっとU28はんどる,ショッピングバスケットU28ハンドル,shoppingubasukettoU28handoru,syoppingubasukettoU28handoru,shoppingubasukettoU28handoru"
143,1746,ZZ1746,860472,ショッピングバスケットU-33 ハンドル,12,10,0.06,0,72ｇ,31 ±1,2,39.26,39.9,PP,PP J704UG,5,100,"","","","",ｻﾝﾎﾞｯｸｽ56A-2,"ZZ1746,860472,ショッピングバスケットU33ハンドル,しょっぴんぐばすけっとU33はんどる,ショッピングバスケットU33ハンドル,shoppingubasukettoU33handoru,syoppingubasukettoU33handoru,shoppingubasukettoU33handoru"
144,1748,SK1748,800361,カード差し 9-M型,未登録,未登録,未登録,未登録,14.5ｇ,14.5 ±1,1,11.6,11.6,PP,PP J224U相当,5,600,"","","","","10個単位上下交互に30段
ｻﾝｸﾚｯﾄ#80","SK1748,800361,カード差し9M型,かーどさし9Mがた,カードサシ9Mガタ,kaadosashi9Mgata,kaadosasi9Mgata,kaadosashi9Mgata,未登録"
145,1758,SK1758,800360,カード差し 16-M型,94,20,0.25,0,32ｇ,32 ±1.5,1,18.7,17.6,PP,PP MT545,7,300,4800,"","","","","SK1758,800360,カード差し16M型,かーどさし16Mがた,カードサシ16Mガタ,kaadosashi16Mgata,kaadosasi16Mgata,kaadosashi16Mgata"
146,1758,SK1758,800359,カード差し 16-S型,94,20,0.27,0,30ｇ,30 ±1.5,1,17.6,17.3,PP,PP MT545,7,300,4800,"","","",ｻﾝｸﾚｯﾄ#80,"SK1758,800359,カード差し16S型,かーどさし16Sがた,カードサシ16Sガタ,kaadosashi16Sgata,kaadosasi16Sgata,kaadosashi16Sgata"
147,1805,SK1805,805540,BSトイレ　デッキパネル用ファスナー,29,20,0.15,0,5.6ｇ,1.95 ±0.1,2,18.8,21.8,PP,PP J704UG,5,"","","",ｷｸｶﾂﾌﾟ ﾎﾝﾀｲ,0.03 X 1300 X 1100,ｻﾝｸﾚｯﾄ#80,"SK1805,805540,BSトイレデッキパネル用ファスナー,BSといれでっきぱねるようふぁすなー,BSトイレデッキパネルヨウファスナー,BStoiredekkipaneruyoufasunaa,BStoiredekkipaneruyoufasunaa,BStoiredekkipaneruyoufuasunaa"
148,1825,SK1825,805541,BSトイレ　背面プラスチックタイ,20,10,0.29,0,6.7ｇ,2 ±0.1,2,13.8,13.8,PP,MK241,3,"","","","","",ｻﾝｸﾚｯﾄ#80,"SK1825,805541,BSトイレ背面プラスチックタイ,BSといれはいめんぷらすちっくたい,BSトイレハイメンプラスチックタイ,BStoirehaimenpurasuchikkutai,BStoirehaimenpurasutikkutai,BStoirehaimenpurasuchikkutai"
149,1828,SK1828,805199,フェンスジョイント CU型,60,10,0.27,0,139ｇ,6.7 ±5,2,43.93,37,PC,PC ｶﾘﾊﾞｰ 303-15 AJ039,-,100,"","",ｷｸｶﾂﾌﾟ ﾎﾝﾀｲ,0.03 X 1300 X 1100,"","SK1828,805199,フェンスジョイントCU型,ふぇんすじょいんとCUがた,フェンスジョイントCUガタ,fensujointoCUgata,fensujointoCUgata,fuensujointoCUgata"
150,1943,SK1943,800375,カード差し 58型,9,20,0.04,0,12ｇ,12 ±1,1,"",12,PP,PP MT545,7,"","","","","","","SK1943,800375,カード差し58型,かーどさし58がた,カードサシ58ガタ,kaadosashi58gata,kaadosasi58gata,kaadosashi58gata"
151,1944,SK1944,800370,カード差し T型,25,20,0.09,0,6.3ｇ,6.3 ±0.3,1,13.45,12.5,PP,PP MT545,7,1300,"","","","",ｻﾝｸﾚｯﾄ#80,"SK1944,800370,カード差しT型,かーどさしTがた,カードサシTガタ,kaadosashiTgata,kaadosasiTgata,kaadosashiTgata"
152,1971,SK1971,700265,サンボックス蓋 2S-2,未登録,未登録,未登録,未登録,60ｇ,60 ±1.5,1,22.08,19,PP,PP J224U相当,5,"","","","","",パレ積み　25段　45本,"SK1971,700265,サンボックス蓋2S2,さんぼっくすふた2S2,サンボックスフタ2S2,sanbokkusufuta2S2,sanbokkusufuta2S2,sanbokkusufuta2S2,未登録"
153,1979,SK1979,805248,サンマーカー S 本体,18,10,0.15,0,6.3ｇ,42 ±1.5(10ヶ),1,"",12,ABS,ABS GA501,33,"","","","","",サンプル取り数10個/42g,"SK1979,805248,サンマーカーS本体,さんまーかーSほんたい,サンマーカーSホンタイ,sanmaakaaShontai,sanmaakaaShontai,sammaakaaShontai"
154,1980,SK1980,800379,カード差し 59型,未登録,未登録,未登録,未登録,11ｇ,11 ±0.5,1,17,15.5,PP,PP MT545,7,950,"","","","","オムロン用、品質厳しい
ｻﾝｸﾚｯﾄ#80","SK1980,800379,カード差し59型,かーどさし59がた,カードサシ59ガタ,kaadosashi59gata,kaadosasi59gata,kaadosashi59gata,未登録"
155,1983,SK1983,800378,カード差し 60-N型 (爪無),未登録,未登録,未登録,未登録,10.5ｇ,10.5 ±0.5,1,15.54,12,PP,PP MT545,7,"","","","","","","SK1983,800378,カード差し60N型(爪無),かーどさし60Nがた(つめむ),カードサシ60Nガタ(ツメム),kaadosashi60Ngata(tsumemu),kaadosasi60Ngata(tumemu),kaadosashi60Ngata(tsumemu),未登録"
156,1983,SK1983,800377,カード差し 60型 (爪有),未登録,未登録,未登録,未登録,11.7ｇ,11.7 ±0.5,1,15.54,12,PP,PP MT545,7,"","","","","","","SK1983,800377,カード差し60型(爪有),かーどさし60がた(つめあり),カードサシ60ガタ(ツメアリ),kaadosashi60gata(tsumeari),kaadosasi60gata(tumeari),kaadosashi60gata(tsumeari),未登録"
157,2104,SK2104,805545,BSトイレ　清水ストレーナー,31,5,0.42,0,15.2ｇ,12.4 ±0.2,1,"",14.6,PP,PP J441F,5,"","","",ｷｸｶﾂﾌﾟ ﾎﾝﾀｲ,"","","SK2104,805545,BSトイレ清水ストレーナー,BSといれしみずすとれーなー,BSトイレシミズストレーナー,BStoireshimizusutoreenaa,BStoiresimizusutoreenaa,BStoireshimizusutoreenaa"
158,2172,SK2172,805472,SCB-130 ハンドルキャップ,18,10,0.12,0,19ｇ,9 ±1,2,29.5,27.2,PP,J440W(超耐候),5,700,"","","","",ｻﾝｸﾚｯﾄ#80,"SK2172,805472,SCB130ハンドルキャップ,SCB130はんどるきゃっぷ,SCB130ハンドルキャップ,SCB130handorukyappu,SCB130handorukyappu,SCB130handorukyappu"
159,2173,SK2173,805473,グロメット 7型,56,20,0.06,0,65.5ｇ,32 ±1,2,88.4,76.7,PE,202 LDPE,23,500,"","","","",ｻﾝｸﾚｯﾄ#80,"SK2173,805473,グロメット7型,ぐろめっと7がた,グロメット7ガタ,gurometto7gata,gurometto7gata,gurometto7gata"
160,2276,SK2276,200673,サンコータル角 5K-2,102,12,0.3,0,310ｇ,310 ±5,1,28.8,21.3,PE,PE 1608J,18,640,"","","",HD 0.03 X 590 X 1100,"","SK2276,200673,サンコータル角5K2,さんこーたるかく5K2,サンコータルカク5K2,sankootarukaku5K2,sankootarukaku5K2,sankootarukaku5K2"
161,2277,SK2277,700955,サンコータル角 5K-2 蓋,60,10,0.21,0,140ｇ,140+5-0,1,28.45,20.1,PE,PE 1608J,18,"","",ｸﾗﾌﾄHH,ｻﾝｺｰﾀﾙ ｶｸ  5K-2 ﾌﾀ,"","","SK2277,700955,サンコータル角5K2蓋,さんこーたるかく5K2ふた,サンコータルカク5K2フタ,sankootarukaku5K2futa,sankootarukaku5K2futa,sankootarukaku5K2futa"
162,2307,SK2307,800386,カード差し 65型,25,20,0.15,0,12.2(PP)/12.5(PE)ｇ,5.3 ±1(PP)/5.4 ±1(PE),2,16.2,16.8/16.6,PP/PE,PP MT545 / PE HZ1608J,7 / 18,2000,"","","","","オムロン用、品質厳しい
ｻﾝｸﾚｯﾄ#80","SK2307,800386,カード差し65型,かーどさし65がた,カードサシ65ガタ,kaadosashi65gata,kaadosasi65gata,kaadosashi65gata"
163,2338,SK2338,805351,マグネットホルダー,23,5,0.22,0,11ｇ,11 ±0.5,1,20.69,16,PP(BC03),PP J707QB,25,"","","",ｷｸｶﾂﾌﾟ ﾎﾝﾀｲ,0.03 X 1300 X 1100,"","SK2338,805351,マグネットホルダー,まぐねっとほるだー,マグネットホルダー,magunettohorudaa,magunettohorudaa,magunettohorudaa"
164,2358,SK2358,800072,ハンディボックスT ハンドル,30,10,0.07,10,21.3ｇ,19 ±2,1,43.25,44.7,PP,PP J705UG,9,850,"","","","",ｻﾝｸﾚｯﾄ#80(850個)[25段X34本] / ｻﾝﾎﾞｯｸｽ#13(140個),"SK2358,800072,ハンディボックスTハンドル,はんでぃぼっくすTはんどる,ハンディボックスTハンドル,handibokkusuThandoru,handibokkusuThandoru,handeibokkusuThandoru"
165,2359,SK2359,800073,ハンディボックスT ロックA•B,24.73,10,0.11,0,7.9ｇ,2.7 ±0.5/3 ±0.5,1,23.5,24.5,PP,PP J704U,5,"","","","","",ｻﾝｸﾚｯﾄ#80,"SK2359,800073,ハンディボックスTロックAB,はんでぃぼっくすTろっくAB,ハンディボックスTロックAB,handibokkusuTrokkuAB,handibokkusuTrokkuAB,handeibokkusuTrokkuAB"
166,2378,SK2378,400153,サンケースC-160 本体,19,40,0.15,0,65.2ｇ,16.3 ±0.5,4,12.6,14,PS,ﾃﾞﾝｶｽﾁﾛｰﾙ GP-1,6.4,"","","",ｻﾝｹｰｽ C-160 ﾎﾝﾀｲ / ｻﾝｹｰｽ C-180 ﾎﾝﾀｲｳﾒﾊﾟﾄ,0.03 X 1300 X 1100,"","SK2378,400153,サンケースC160本体,さんけーすC160ほんたい,サンケースC160ホンタイ,sankeesuC160hontai,sankeesuC160hontai,sankeesuC160hontai"
167,2379,SK2379,700152,サンケースC130•160 蓋,69,40,0.38,2,30.8ｇ,7.7 ±0.3,4,18.16,14.5,PE,LD 248,58,400,"",ｸﾗﾌﾄIH,ｻﾝｹｰｽ C-130 C-160 ﾌﾀ,0.03 X 850 X 900,"","SK2379,700152,サンケースC130160蓋,さんけーすC130160ふた,サンケースC130160フタ,sankeesuC130160futa,sankeesuC130160futa,sankeesuC130160futa"
168,2385,SK2385,800075,プラスチックスライド L•R,23,10,0.04,0,13.65ｇ,5.45 ±0.05/5.45 ±0.05,1,54.72,50.9,ポリアセタール,POM ｼﾞｭﾗｺﾝ YF-20,-,500,"",ｸﾗﾌﾄHH,ﾊﾝﾃﾞｲﾎﾞﾂｸｽ T-3 6ｹﾑｼﾞ（枠有り）,0.03 X 420 X 800,プラスチックスライド L•R-2よりも大きい,"SK2385,800075,プラスチックスライドLR,ぷらすちっくすらいどLR,プラスチックスライドLR,purasuchikkusuraidoLR,purasutikkusuraidoLR,purasuchikkusuraidoLR"
169,2389,SK2389,400154,サンケースC-180 本体,15,5,0.42,0,39.4ｇ,19.7 ±0.5,2,14.2,13,PS,PS MT5D,2.9,200,3200,ｸﾗﾌﾄIH,ｻﾝｹｰｽ C-180 / ｻﾝｹｰｽ C-180 ﾎﾝﾀｲｳﾒﾊﾟﾄ,0.03 X 1300 X 1100,D4-075パレット(黒),"SK2389,400154,サンケースC180本体,さんけーすC180ほんたい,サンケースC180ホンタイ,sankeesuC180hontai,sankeesuC180hontai,sankeesuC180hontai"
170,2390,SK2390,400155,サンケースC-200 本体,140,50,0.41,0,42.4ｇ,21.2 ±0.5,2,13.6,13.8,PS,PS MT5D,2.9,200,3200,OPP透明IH,ｻﾝｹｰｽ C-180 ﾎﾝﾀｲｳﾒﾊﾟﾄ / ｻﾝｹｰｽ C-200,0.03 X 1300 X 1100,D4-075パレット(黒),"SK2390,400155,サンケースC200本体,さんけーすC200ほんたい,サンケースC200ホンタイ,sankeesuC200hontai,sankeesuC200hontai,sankeesuC200hontai"
171,2391,SK2391,700153,サンケースC180•200 蓋,70,20,0.48,10,17ｇ,8.5 ±0.3,2,14.7,14.8,PP+PE,PP PM980(指定)90% / PE ﾍﾟﾄﾛｾﾝ248(指定)10％,30 / 55,400,9600,ｸﾗﾌﾄIH,"ｻﾝｹｰｽ C-180,200 ﾌﾀ",0.03 X 850 X 900,"","SK2391,700153,サンケースC180200蓋,さんけーすC180200ふた,サンケースC180200フタ,sankeesuC180200futa,sankeesuC180200futa,sankeesuC180200futa"
172,2422,SK2422,700269,サンペールS #4-2 蓋,40,5,0.32,0,48ｇ,48 ±2,1,24.87,25.9,PP,PP J224U,5,100,"",OPP透明II,ｻﾝﾍﾟｰﾙ S#4 ﾌﾀ,0.03 X 850 X 900,"5枚おきに向きを180度変える、袋口は中央へ
シールを段ボールに貼る","SK2422,700269,サンペールS#42蓋,さんぺーるSしゃーぷ42ふた,サンペールSシャープ42フタ,sanpeeruSshaapu42futa,sanpeeruSsyaapu42futa,sampeeruSshaapu42futa"
173,2424,SK2424,805356,IDタグポケット,48,10,0.19,0,66ｇ,65.5 ±3,1,"",25,PP,PP J704U,5,"","","","","","","SK2424,805356,IDタグポケット,IDたぐぽけっと,IDタグポケット,IDtagupoketto,IDtagupoketto,IDtagupoketto"
174,2428,SK2428,400157,サンコータル 1L,54,10,0.28,0,86ｇ,86 ±3,1,19.6,20,PE,PE 2010,13,100,800,ｸﾗﾌﾄHH,ｻﾝｺｰﾀﾙ 1L,"","","SK2428,400157,サンコータル1L,さんこーたる1L,サンコータル1L,sankootaru1L,sankootaru1L,sankootaru1L"
175,2449,SK2449,200154,サンケースK-200 本体,未登録,未登録,未登録,未登録,46ｇ,46 ±1,1,"",15,PS,ﾃﾞﾝｶｽﾁﾛｰﾙ GP-1,6.4,200,3200,ｸﾗﾌﾄHH,ｻﾝｹｰｽK-200 / ｻﾝｹｰｽK-200 ﾎﾝP,HD 0.01 X 1100 X 1500,"","SK2449,200154,サンケースK200本体,さんけーすK200ほんたい,サンケースK200ホンタイ,sankeesuK200hontai,sankeesuK200hontai,sankeesuK200hontai,未登録"
176,2450,SK2450,700154,サンケースK-200 蓋,未登録,未登録,未登録,未登録,24.5ｇ,24.5 ±1,1,"",15.4,PS,ﾃﾞﾝｶｽﾁﾛｰﾙ GP-1,6.4,"","","","",HD 0.01 X 800 X 1200,"","SK2450,700154,サンケースK200蓋,さんけーすK200ふた,サンケースK200フタ,sankeesuK200futa,sankeesuK200futa,sankeesuK200futa,未登録"
177,2469,SK2469,800078,プラスチックスライド L•R-2,23,10,0.05,0,10.08ｇ,3.65 ±0.05/3.65 ±0.05,1,45.2,42,ポリアセタール,POM ｼﾞｭﾗｺﾝ YF-20,-,500,"",ｸﾗﾌﾄHH,ﾊﾝﾃﾞｲﾎﾞﾂｸｽ T-3 6ｹﾑｼﾞ（枠有り）,0.03 X 420 X 800,プラスチックスライド L•Rよりも小さい,"SK2469,800078,プラスチックスライドLR2,ぷらすちっくすらいどLR2,プラスチックスライドLR2,purasuchikkusuraidoLR2,purasutikkusuraidoLR2,purasuchikkusuraidoLR2"
178,2482,SK2482,805381,PET容器蓋　2型,120,100,0.36,3,16.4ｇ,4.1 ±0.15,4,13.4,13.6,PP,PP J709QG,55,1000,32000,OPP白II,PET容器フタ2型,0.03 X 850 X 900,"ハンコは黒色
YE201のみ入数800個","SK2482,805381,PET容器蓋2型,ぺっとようきふた2がた,ペットヨウキフタ2ガタ,pettoyoukifuta2gata,pettoyoukifuta2gata,pettoyoukifuta2gata"
179,2567,SK2567,805387,マグネットホルダー アタッチメント,23,5,0.32,0,7.5ｇ,5.5 ±0.2,1,14.47,14.5,PP(BC03),PP J707QB,25,"","","",ｷｸｶﾂﾌﾟ ﾎﾝﾀｲ,0.03 X 1300 X 1100,"","SK2567,805387,マグネットホルダーアタッチメント,まぐねっとほるだーあたっちめんと,マグネットホルダーアタッチメント,magunettohorudaaatatchimento,magunettohorudaaatattimento,magunettohorudaaatatchimento"
180,2614,SK2614,704702,SCB-700 持手用カバー,15,8,0.12,0,40.8ｇ,19 ±0.5,2,32.1,32.2,PP,EVA P-1007,9,"","","","",0.03 X 1300 X 1100,ｻﾝｸﾚｯﾄ#80,"SK2614,704702,SCB700持手用カバー,SCB700もちてようかばー,SCB700モチテヨウカバー,SCB700mochiteyoukabaa,SCB700motiteyoukabaa,SCB700mochiteyoukabaa"
181,2700,SK2700,800392,カード差し 70型,90,20,0.24,0,15.8ｇ,15.8,1,"",19,PP,PP MT545,7,"","","","","","","SK2700,800392,カード差し70型,かーどさし70がた,カードサシ70ガタ,kaadosashi70gata,kaadosasi70gata,kaadosashi70gata"
182,2796,SK2796,804637,PDC3保護キャップ,未登録,未登録,未登録,未登録,17.5ｇ,15 ±1,1,24.8,12.2,PE,PE 2010,13,"","","","","","","SK2796,804637,PDC3保護キャップ,PDC3ほごきゃっぷ,PDC3ホゴキャップ,PDC3hogokyappu,PDC3hogokyappu,PDC3hogokyappu,未登録"
183,2822,SK2822,890909,サンファスナー 4型,15,100,0.03,0,1.76ｇ,0.33*2 ±0.005,2,"",9.9,PP,PP J728Q(指定),40,"","","",ｻﾝﾌｱｽﾅｰ2.3.5ｶﾞﾀﾖｳ,0.03 X 460 X 900,"","SK2822,890909,サンファスナー4型,さんふぁすなー4がた,サンファスナー4ガタ,sanfasunaa4gata,sanfasunaa4gata,sanfuasunaa4gata"
184,2865,SK2865,400171,サンペール#1 本体,70,10,0.27,0,107ｇ,107 ±3,1,25.6,22.7,PE,PE 2208J,5,60,960,ｸﾗﾌﾄHH,ｻﾝﾍﾟｰﾙ  # 1 ﾎﾝﾀｲ ｶｲ,0.03 X 1300 X 1100,再検査有り、箱は閉じない。大ﾊﾟﾚｯﾄ(D4-1113-2),"SK2865,400171,サンペール#1本体,さんぺーるしゃーぷ1ほんたい,サンペールシャープ1ホンタイ,sanpeerushaapu1hontai,sanpeerusyaapu1hontai,sampeerushaapu1hontai"
185,2866,SK2866,700171,サンペール#1 蓋,72,12,0.22,3,31ｇ,31 ±2,1,27.7,24.1,PP(BC03),BC03BSW,30,240,6000,ｸﾗﾌﾄHH,ｻﾝﾍﾟｰﾙ  # 1 ﾌﾀ,0.03 X 420 X 800,袋は結ぶ,"SK2866,700171,サンペール#1蓋,さんぺーるしゃーぷ1ふた,サンペールシャープ1フタ,sanpeerushaapu1futa,sanpeerusyaapu1futa,sampeerushaapu1futa"
186,2867,SK2867,700172,サンペール#1 中蓋,46,12,0.21,24,18.5ｇ,18.5 ±1,1,18.6,15.4,PE,PE M65,20,240,6000,ｸﾗﾌﾄHH,ｻﾝﾍﾟｰﾙ  # 1 ﾅｶﾌﾀ,0.03 X 420 X 800,袋は結ぶ,"SK2867,700172,サンペール#1中蓋,さんぺーるしゃーぷ1なかふた,サンペールシャープ1ナカフタ,sanpeerushaapu1nakafuta,sanpeerusyaapu1nakafuta,sampeerushaapu1nakafuta"
187,2880,SK2880,804665,PET容器蓋　3型,32,25,0.14,0,4.5ｇ,4.5 ±0.2,1,8.9,9.5,PP,PP J708Q,45,1000,20000,ｸﾗﾌﾄHH,PET容器フタ3型 / PET容器フタ3型P,0.03 X 1300 X 1100,"","SK2880,804665,PET容器蓋3型,ぺっとようきふた3がた,ペットヨウキフタ3ガタ,pettoyoukifuta3gata,pettoyoukifuta3gata,pettoyoukifuta3gata"
188,2928,SK2928,800396 800398,カード差し 74型・カード差し 74型 (QR),10,10,0.05,0,14.1ｇ,14.1 ±0.5,1,18.9,17.6,PP,PP J224U,5,300,3600,"",(QR):ｷｸｶﾂﾌﾟ ﾎﾝﾀｲ,"",ｻﾝｸﾚｯﾄ#80 / 横持ち / (QR)はｷｸｶﾂﾌﾟ ﾎﾝﾀｲ,"SK2928,800396800398,カード差し74型カード差し74型(QR),かーどさし74がたかーどさし74がた(QR),カードサシ74ガタカードサシ74ガタ(QR),kaadosashi74gatakaadosashi74gata(QR),kaadosasi74gatakaadosasi74gata(QR),kaadosashi74gatakaadosashi74gata(QR)"
189,2958,SK2958,400172,サンケースC-130 本体,65,10,0.59,30,15.6ｇ,15.6 ±0.5,1,10.94,10.9,PS,PS MT5D,2.9,200,3200,ｸﾗﾌﾄIH,ｻﾝｹｰｽ C-130 ﾎﾝﾀｲ / ｻﾝｹｰｽ C-130 ﾎﾝﾀｲﾊﾟﾂﾄ,0.03 X 1300 X 1100,D4-075パレット(黒),"SK2958,400172,サンケースC130本体,さんけーすC130ほんたい,サンケースC130ホンタイ,sankeesuC130hontai,sankeesuC130hontai,sankeesuC130hontai"
190,2964,SK2964,890921,サンクリップ,未登録,未登録,未登録,未登録,1.94ｇ,0.47 ±0.1,2,"",11.8,PP,PP MT545,7,"","","","",0.03 X 1300 X 1100,"","SK2964,890921,サンクリップ,さんくりっぷ,サンクリップ,sankurippu,sankurippu,sankurippu,未登録"
191,3119,SK3119,200032,サンコータル角 S-0.38K 本体,120,15,0.28,0,64ｇ,64 ±2,1,28.71,28.9,PET,IP121B(98%) / IP121BU35B(2%),0.62,100,2000,TM：OPP透明HH(仮止め有),ｻﾝｺｰﾀﾙ ｶｸS-0.38Kﾎﾝﾀｲ,HD 0.01 X 410 X 540,"乾燥機使用
Sシリーズ専用パレット","SK3119,200032,サンコータル角S038K本体,さんこーたるかくS038Kほんたい,サンコータルカクS038Kホンタイ,sankootarukakuS038Khontai,sankootarukakuS038Khontai,sankootarukakuS038Khontai"
192,3120,SK3120,700032,サンコータル角 S-0.38K 蓋,75,15,0.22,0,52ｇ,52 ±2,1,23.09,23.1,PET,IP121B(97%) / IP121BU35B(3%),0.62,100,2000,OPP透明HH(仮止め有),ｻﾝｺｰﾀﾙ ｶｸS-0.38Kﾌﾀ,HD 0.01 X 410 X 540,"乾燥機使用
Sシリーズ専用パレット","SK3120,700032,サンコータル角S038K蓋,さんこーたるかくS038Kふた,サンコータルカクS038Kフタ,sankootarukakuS038Kfuta,sankootarukakuS038Kfuta,sankootarukakuS038Kfuta"
193,3121,SK3121,200033,サンコータル角 S-0.6K 本体,120,15,0.3,0,87ｇ,87 ±2,1,26.5,27.3,PET,IP121B(97%) / IP121BU35B(3%),0.62,100,2000,TM：OPP透明HH(仮止め有),ｻﾝｺｰﾀﾙ ｶｸS-0.6Kﾎﾝﾀｲ,HD 0.01 X 410 X 540,"乾燥機使用
Sシリーズ専用パレット","SK3121,200033,サンコータル角S06K本体,さんこーたるかくS06Kほんたい,サンコータルカクS06Kホンタイ,sankootarukakuS06Khontai,sankootarukakuS06Khontai,sankootarukakuS06Khontai"
194,3122,SK3122,200157,サンコータル角 S-1.3K 本体,120,15,0.18,0,100ｇ,100 ±2,1,43.7,33.7,PET,IP121B(97%) / IP121BU35B(3%),0.62,100,"",TM：OPP透明HH (仮止め有) / CL：OPP茶HH (仮止め有),ｻﾝｺｰﾀﾙ ｶｸS-1.3Kﾎﾝﾀｲ,HD 0.01 X 410 X 540,"乾燥機使用
Sシリーズ専用パレット","SK3122,200157,サンコータル角S13K本体,さんこーたるかくS13Kほんたい,サンコータルカクS13Kホンタイ,sankootarukakuS13Khontai,sankootarukakuS13Khontai,sankootarukakuS13Khontai"
195,3123,SK3123,700033,サンコータル角 S-0.6K 蓋,50,10,0.18,0,74ｇ,74 ±2,1,27.2,27.3,PET,IP121B(99.4%) / IP121BU35B(0.6%),0.62,100,2000,OPP透明HH(仮止め有),ｻﾝｺｰﾀﾙ ｶｸS0.6･1.3Kﾌﾀ,HD 0.01 X 410 X 540,"乾燥機使用
Sシリーズ専用パレット","SK3123,700033,サンコータル角S06K蓋,さんこーたるかくS06Kふた,サンコータルカクS06Kフタ,sankootarukakuS06Kfuta,sankootarukakuS06Kfuta,sankootarukakuS06Kfuta"
